ward_no,representative,female,population,category,area,ward_name,st,localities,sc,constituency,male
85,Sridhar Reddy (BJP),10226,22016,General,12.12,Dodda Nekkundi,343,"['Ashreya Layout', ' Dodda Nekkundi Industrial Estate', ' Vishveshwaraiah Industrial estate', ' ferns City', ' Dodda Nekkundi', ' Dodda Nekkundi kere', ' Chinnappa Reddy layout', ' HAL East Extension', ' Jawaharnagar Sector 4', ' Hemanth Nagar (Chinnappanahalli Ext)', ' ISRO Layout', ' Karthik Nagar', ' LRDE Employees Housing Colony', ' NC Munireddy Layout', ' Dodda Nekkundi Ext', ' Hanumareddy Layout', ' Channappanahalli', ' AECS Layout - A -B -C -D -E Blocks', ' Kundalahalli Colony', ' Kundalahalli', ' Kundalahalli kere', ' Annayareddy Layout', ' Tubarahalli', ' Tigalarapalya', ' BEML Layout']",4283,Mahadevpura,11790
112,Geetha Srinivasa Reddy (BJP),16876,34703,General (Women),1.75,Domlur,295,"['Indira Nagar', ' Dhupanahalli', ' Domlur', ' Domlur 1st Stage', ' Someshwarapura Layout']",5338,Shanthinagar,17827
106,Gangabyraiah (BJP),11740,24752,General,0.99,Dr. Raj Kumar Ward,335,"['Rajaji Nagar Industrial town', ' Oddarapalya (P)', ' Rajaji Nagar 6th block', ' Police Colony']",2111,Govindrajnagar,13012
148,P.M.Saroja (INC),13789,29105,General (Women),1.61,Ejipura,499,"['Ejipura', ' Gowda Muniswamy Garden', ' Chandra Reddy Layout', ' Venkappa Garden', ' Ashwini Layout', ' Green Leaf Extension', ' Shinivagilu', ' Shinivagilu Tank bed layout', ' AK Colony', ' National Games Housing Complex']",4906,B T M Layout,15316
157,B.S.Anand (BJP),12798,27264,General,1.14,Gali Anjenaya Temple ward,309,"['Karithimmanahalli', ' Raghavendra Nagar', ' Sanjaya Nagar', ' Telecom Layout', ' Timber Yard Layout', ' Venkateshpura', ' Byatarayanapura', ' Muneswara block (P)']",1874,Vijayanagar,14466
94,S. Nataraj (INC),15744,35310,General,1.93,Gandhinagar,167,"['Seshadripuram', ' Ramakrishna Layout', ' Nehru Nagar', ' VV Giri Colony', ' Bangalore City', ' Kempegowda bus Stand', ' RK Puram', ' Gandhinagar', ' Upparpet', ' Chikpete (P)']",6153,Gandhinagar,19566
165,L.Govindaraj (INC),11113,23101,Backward Category A,1.63,Ganesh Mandir ward,179,"['Banashankari 3rd Stage (p)', ' Banashankari 2nd Stage', ' Kempegouda Institute Of Medical Science', ' BNM College']",652,Padmanabhanagar,11988
20,Anand.V (BJP),12568,26256,General,2.26,Ganga Nagar,286,"['UAS Campus', ' KEB Layout', ' UAS Staff Quarters', ' Vishveshvaraiah Nagar', ' Reserve Bank Colony', ' HMT Layout', ' Ganga Nagar', ' Venkappa Block', ' Gundappa Block']",2842,Hebbal,13688
34,M.Nagaraj (BJP),11826,24954,General,1.09,Gangenahalli,185,"['Ganganagar', ' Dena Bank Colony', ' Papanna block', ' Gangenahalli Extension', ' Mathadhalli Layout']",2373,Hebbal,13128
82,N.Pillappa (INC),9549,20920,General,6.8,Garudachar Playa,364,"['Mahadevapura', ' Maheshswari Nagar', ' Kaveri nagar', ' RHB Colony', ' Purvankara Layout', ' Garudachar playa', ' Muniswamappa Layout', ' KSSIDC Industrial Estate', ' KEB colony', ' Maruthi Industrial Estate', ' Siddaramapalya', ' Basavanna Nagar', ' Shetty Layout', ' KIADB Export Promotion Industrial Area', ' Whitefield (P)', ' Panatthur Agrahara', ' Hudi (P)', ' Maruthi Nagar']",3635,Mahadevpura,11371
